TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
965,35,42106,0.965,0.022404866383413432,0.043792970434072286,0.8261220294095759,0.41036707754725943,0.861374152537802,0.47528394111068484,0.965,1000,0
930,35,11605,0.9637305699481865,0.07419226166733148,0.13777777777777778,0.8617866217499061,0.3555398256953439,0.8983466413042068,0.41809598338151444,0.9637305699481865,965,5
867,35,5538,0.9611973392461197,0.13536299765807963,0.2373066922129465,0.884130984585361,0.31036287448778954,0.9244933631168207,0.3601810245257355,0.9611973392461197,902,10
755,35,3515,0.9556962025316456,0.17681498829039813,0.29841897233201575,0.8941111373628442,0.27273075949671044,0.934970223868905,0.30020266843858134,0.9556962025316456,790,15
618,35,2528,0.9464012251148545,0.19643992371265098,0.3253487759936825,0.8939246432127546,0.24960771337984955,0.9380129212624244,0.2562176911497521,0.9464012251148545,653,20
513,35,1987,0.9361313868613139,0.2052,0.3366141732283464,0.8932392158756806,0.23472837473370567,0.9409192497660148,0.22453274162573766,0.9361313868613139,548,25
432,35,1647,0.9250535331905781,0.2077922077922078,0.3393558523173606,0.9294778019912587,0.21100074485341896,0.9656129363840459,0.1882283192134755,0.9250535331905781,467,30
364,35,1411,0.9122807017543859,0.20507042253521127,0.3348666053357865,0.927398307791432,0.20081267147685938,0.965792953668868,0.17053508939448664,0.9122807017543859,399,35
304,35,1218,0.8967551622418879,0.19973718791064388,0.32670607200429874,0.9273180917885252,0.18914381599786154,0.9652848861643911,0.1525724506779805,0.8967551622418879,339,40
262,35,1093,0.8821548821548821,0.19335793357933578,0.3171912832929782,0.9261058253554493,0.18389370513860287,0.9652100896162342,0.14334436345138818,0.8821548821548821,297,45
231,35,955,0.868421052631579,0.19477234401349072,0.3181818181818182,0.9218604859491536,0.182698228843005,0.9644693524262327,0.138149994937454,0.868421052631579,266,50
197,35,860,0.8491379310344828,0.18637653736991486,0.30566330488750976,0.9272473890985726,0.1687294473216862,0.9628468774841634,0.12774400178533696,0.8491379310344828,232,55
176,35,784,0.8341232227488151,0.18333333333333332,0.300597779675491,0.9218023946612697,0.17189822454541487,0.960613874138385,0.1279240915965782,0.8341232227488151,211,60
162,35,714,0.8223350253807107,0.18493150684931506,0.3019571295433364,0.9175690945727886,0.17310910157154685,0.9587070227444175,0.1267974146552867,0.8223350253807107,197,65
153,35,665,0.8138297872340425,0.18704156479217604,0.30417495029821073,0.9261189673964644,0.16540299959806304,0.9713888814516511,0.11370122767285026,0.8138297872340425,188,70
142,35,616,0.8022598870056498,0.18733509234828497,0.30374331550802136,0.9237682328601086,0.16334788945948786,0.9701044858069156,0.11267802301091061,0.8022598870056498,177,75
126,35,567,0.782608695652174,0.18181818181818182,0.2950819672131148,0.933014502211462,0.15427498502901377,0.9729776261842207,0.10400865967015513,0.782608695652174,161,80
112,35,528,0.7619047619047619,0.175,0.28462515883100376,0.9293686644820995,0.15292384884723217,0.9720238358958291,0.09996696698751428,0.7619047619047619,147,85
106,35,494,0.75177304964539,0.17666666666666667,0.28609986504723345,0.928741712857195,0.14909075810750894,0.9726680817855267,0.09697339007584575,0.75177304964539,141,90
99,35,465,0.7388059701492538,0.17553191489361702,0.28366762177650434,0.9267686263275088,0.1478581822880803,0.9724173096188223,0.09249641210461525,0.7388059701492538,134,95
