TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
915,85,12656,0.915,0.06742318178468794,0.12559192917438747,0.915125721453469,0.2655523512204831,0.8986285860094458,0.46426362835866164,0.915,1000,0
678,85,752,0.8885976408912188,0.47412587412587415,0.6183310533515732,0.9436065107012318,0.187855291135874,0.9606863543320322,0.3169262671780596,0.8885976408912188,763,5
355,85,228,0.8068181818181818,0.6089193825042881,0.6940371456500488,0.9320584704057209,0.1640795967349302,0.9661265164170135,0.18910786783229688,0.8068181818181818,440,10
201,85,116,0.7027972027972028,0.6340694006309149,0.6666666666666666,0.9187476199419365,0.15849200361759802,0.9671645924140673,0.12797019191399905,0.7027972027972028,286,15
134,85,81,0.6118721461187214,0.6232558139534884,0.6175115207373272,0.9015367991243002,0.156402703958004,0.9681439289004522,0.10523452785869494,0.6118721461187214,219,20
87,85,52,0.5058139534883721,0.6258992805755396,0.5594855305466238,0.8686136536387631,0.15218052371471033,0.9641896308855498,0.09638900880148164,0.5058139534883721,172,25
65,85,38,0.43333333333333335,0.6310679611650486,0.5138339920948617,0.8404457657157213,0.1415645258024769,0.963262614906604,0.09093138791595759,0.43333333333333335,150,30
47,85,27,0.3560606060606061,0.6351351351351351,0.4563106796116505,0.7721570874951206,0.14309629748829833,0.9602433763653716,0.09198221263087475,0.3560606060606061,132,35
34,85,24,0.2857142857142857,0.5862068965517241,0.384180790960452,0.7331000658124132,0.1438576061711453,0.9484854909891343,0.0903453259246738,0.2857142857142857,119,40
24,85,20,0.22018348623853212,0.5454545454545454,0.3137254901960784,0.7376669655003242,0.14129734251244036,0.9334451291032221,0.08250712363589063,0.22018348623853212,109,45
19,85,15,0.18269230769230768,0.5588235294117647,0.2753623188405797,0.7711482353735434,0.13584569046411216,0.9069764818535047,0.08328221045001227,0.18269230769230768,104,50
15,85,12,0.15,0.5555555555555556,0.23622047244094485,0.8166023107323513,0.1376654607363206,0.8621793196083519,0.08656030531183209,0.15,100,55
11,85,11,0.11458333333333333,0.5,0.18644067796610167,0.7916123971597675,0.12370369098119381,0.9718544629453499,0.0510224971155068,0.11458333333333333,96,60
9,85,8,0.09574468085106383,0.5294117647058824,0.16216216216216217,0.7867855916861218,0.11319186340918437,0.978569471519426,0.04740059960148431,0.09574468085106383,94,65
4,85,4,0.0449438202247191,0.5,0.08247422680412371,0.6543082183852448,0.13308269425912383,0.8690213283486112,0.0602758928543545,0.0449438202247191,89,70
3,85,3,0.03409090909090909,0.5,0.06382978723404255,0.3813399157362263,0.0928316417128825,0.3875327058788789,0.0579704489799584,0.03409090909090909,88,75
2,85,2,0.022988505747126436,0.5,0.04395604395604396,-0.9999999999999999,0.12845528455280264,-0.9999999999999999,0.08016261495494148,0.022988505747126436,87,80
2,85,2,0.022988505747126436,0.5,0.04395604395604396,-0.9999999999999999,0.12845528455280264,-0.9999999999999999,0.08016261495494148,0.022988505747126436,87,85
1,85,1,0.011627906976744186,0.5,0.022727272727272724,,0.0,,0.0,0.011627906976744186,86,90
0,85,0,0.0,0.0,0.0,,0.0,,0.0,0.0,85,95
