TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_reads_mapped,corr_reads_mapped_div_gene_len,L1_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
31661,35382,11410,0.4722491535283326,0.7350885746790183,0.5750585756579545,0.54322920947751,1.0266144741008292,0.6401588773112729,0.9334599193523303,0.4722491535283326,67043,0
9097,35382,3438,0.20452348299197373,0.7257279617072198,0.3191146034307363,0.6997455755828078,0.6444259471509521,0.8156588836471728,0.5206928494195879,0.20452348299197373,44479,5
4533,35382,1872,0.11356632844795189,0.7077283372365339,0.19572538860103628,0.7646243190748369,0.46187797531366825,0.8399994300054441,0.36778877875185645,0.11356632844795189,39915,10
3029,35382,1241,0.07885761891124939,0.709367681498829,0.14193669314214755,0.8338301931797,0.363361557454449,0.8814109289249618,0.2893702113736597,0.07885761891124939,38411,15
2233,35382,913,0.059364615180114315,0.7097902097902098,0.10956551605701528,0.8511196293268436,0.3159081566923275,0.8786035605263487,0.25892646436984357,0.059364615180114315,37615,20
1783,35382,717,0.047975245526705235,0.7132,0.08990293709819741,0.8617459098625082,0.28199898174803567,0.883338324038643,0.22881717849851496,0.047975245526705235,37165,25
1504,35382,575,0.040774277503659924,0.7234247234247234,0.07719748492236622,0.8944210528020258,0.23771922103558038,0.8905344905891077,0.20153018138042478,0.040774277503659924,36886,30
1298,35382,477,0.035387131952017446,0.7312676056338028,0.06750747627096607,0.8964817949685389,0.22290906766623708,0.8889454982814403,0.19182165387198807,0.035387131952017446,36680,35
1124,35382,398,0.030789459266969813,0.7385019710906702,0.05911433680445986,0.9141182593989478,0.1941440413361487,0.9610852959081134,0.15797226559322697,0.030789459266969813,36506,40
1002,35382,353,0.02753957783641161,0.7394833948339483,0.05310156601923739,0.9107293494715871,0.1899257762438786,0.9609268477792241,0.15449984026038582,0.02753957783641161,36384,45
894,35382,292,0.024644392987098907,0.7537942664418212,0.04772836474293952,0.9081001309624043,0.18366165599055345,0.9606260728052902,0.15001239322445764,0.024644392987098907,36276,50
794,35382,263,0.02194825298540469,0.7511825922421949,0.042650337066580724,0.9236886874035265,0.16203749860088879,0.968789225229091,0.13477860447384105,0.02194825298540469,36176,55
722,35382,238,0.019997784179038334,0.7520833333333333,0.03895963738398446,0.924631117683198,0.15724958476614326,0.9687093903146851,0.13190321060918864,0.019997784179038334,36104,60
665,35382,211,0.018448137154270815,0.7591324200913242,0.03602090837689245,0.9291354210877057,0.1479364302858665,0.9700312135798911,0.12628400443828344,0.018448137154270815,36047,65
623,35382,195,0.017303152339952783,0.7616136919315404,0.03383754718518317,0.9365072147922486,0.13691682000688024,0.9726867528890942,0.11890653178510559,0.017303152339952783,36005,70
575,35382,183,0.01599132296910198,0.758575197889182,0.03132234781424485,0.9376804791638365,0.12993449140255048,0.9757615102499665,0.1121482938453689,0.01599132296910198,35957,75
526,35382,167,0.01464854628495043,0.759018759018759,0.028742384087866456,0.9387916341387373,0.12461836912551073,0.9761492621411508,0.10949031829642047,0.01464854628495043,35908,80
489,35382,151,0.013632181985447855,0.7640625,0.02678644791980499,0.939608966353833,0.12010604593660625,0.9779118036096466,0.10549094649471855,0.013632181985447855,35871,85
464,35382,136,0.01294426156335435,0.7733333333333333,0.02546232782747078,0.9520757006709234,0.11162226590520646,0.9793267709868445,0.10180739345959512,0.01294426156335435,35846,90
440,35382,124,0.01228295460889956,0.7801418439716312,0.024185126147419335,0.9565086120052709,0.10436017523435846,0.9805781382262645,0.09699642536184439,0.01228295460889956,35822,95
