TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
1000,0,8917,1.0,0.10083694665725522,0.1832005129614363,0.952342027080277,0.4695494348671775,0.9570669688982734,0.5337144121514266,1.0,1000,0
979,0,4630,1.0,0.17454091638438224,0.29720704310868246,0.9545482481418183,0.44956618405981286,0.9606658574294378,0.5073552103682509,1.0,979,5
813,0,3530,1.0,0.1871977895463965,0.31536074476338244,0.9575102717461538,0.40636106946931827,0.9672585990293242,0.4320611312966914,1.0,813,10
596,0,2974,1.0,0.16694677871148458,0.28612578012481993,0.9651957235482603,0.3490374628080944,0.9761139812985208,0.3593452133655938,1.0,596,15
407,0,2691,1.0,0.131375080697224,0.23223965763195434,0.969311300763025,0.30940455018344526,0.9813799392484724,0.3067383203828585,1.0,407,20
260,0,2466,1.0,0.09537784299339692,0.17414601473543204,0.9726017113415579,0.2671351297569592,0.9864457104465636,0.24304510988072714,1.0,260,25
192,0,2306,1.0,0.07686148919135308,0.14275092936802974,0.9804721538899639,0.23129674042392717,0.9908349710931382,0.20195340617519503,1.0,192,30
128,0,2157,1.0,0.05601750547045952,0.10609200165768753,0.9811493636426841,0.1927791199743202,0.9917704106371992,0.14676622869427353,1.0,128,35
96,0,2034,1.0,0.04507042253521127,0.0862533692722372,0.9805563563741172,0.18629864446980168,0.9915921802506298,0.13209600415248912,1.0,96,40
70,0,1916,1.0,0.035246727089627394,0.06809338521400778,0.9795425617951994,0.18698218675262832,0.99117440533691,0.12851751588635973,1.0,70,45
58,0,1832,1.0,0.030687830687830688,0.059548254620123205,0.9787712468762519,0.185371924892305,0.9907977594336875,0.12419613592391393,1.0,58,50
53,0,1739,1.0,0.029575892857142856,0.05745257452574526,0.9782347632948069,0.18529419687006743,0.9905456628734092,0.12245066391998591,1.0,53,55
48,0,1680,1.0,0.027777777777777776,0.05405405405405406,0.9825389264036389,0.16475085982502197,0.9919256057064884,0.09457301721283368,1.0,48,60
42,0,1598,1.0,0.025609756097560974,0.049940546967895356,0.9817239501915828,0.16365084785628192,0.9915082888766217,0.09109439956757019,1.0,42,65
42,0,1530,1.0,0.026717557251908396,0.0520446096654275,0.9817239501915828,0.16365084785628192,0.9915082888766217,0.09109439956757019,1.0,42,70
40,0,1468,1.0,0.026525198938992044,0.0516795865633075,0.9813832069856552,0.1625974982235844,0.9913118608458763,0.09009149624755697,1.0,40,75
39,0,1410,1.0,0.026915113871635612,0.05241935483870967,0.9811873595011307,0.16226188681284626,0.9912803872791519,0.09075634381553446,1.0,39,80
39,0,1360,1.0,0.027877055039313797,0.05424200278164117,0.9811873595011307,0.16226188681284626,0.9912803872791519,0.09075634381553446,1.0,39,85
37,0,1320,1.0,0.027266028002947678,0.05308464849354375,0.9812508272584434,0.15793733754403128,0.9911535752753168,0.08592941582534633,1.0,37,90
37,0,1278,1.0,0.028136882129277566,0.05473372781065089,0.9812508272584434,0.15793733754403128,0.9911535752753168,0.08592941582534633,1.0,37,95
