TP,FP,FN,precision,recall,F1,corr_reads_mapped,L1_f_unique_weighted_reads_mapped,corr_ave_abund,L1_average_abund_reads_mapped_div_gene_len,percent_correct_predictions,total_number_of_predictions,filter_threshold
45,44,92,0.5056179775280899,0.3284671532846715,0.3982300884955752,0.41059110494041734,0.5375494071146244,0.5554222651734533,0.5596744623730134,0.5056179775280899,89,0
16,44,5,0.26666666666666666,0.7619047619047619,0.3950617283950617,0.07222638504956337,0.5588059701492537,0.7391379135402951,0.36275745462803244,0.26666666666666666,60,5
4,44,0,0.08333333333333333,1.0,0.15384615384615385,-0.3015113445777636,0.6888888888888889,-0.7043658411619625,0.5051704511110974,0.08333333333333333,48,10
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,15
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,20
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,25
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,30
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,35
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,40
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,45
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,50
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,55
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,60
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,65
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,70
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,75
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,80
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,85
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,90
0,44,0,0.0,0.0,0.0,,0.0,,0.0,0.0,44,95
